Color [A=255, R=14, G=26, B=52]
Color [A=255, R=14, G=27, B=61]
Color [A=255, R=14, G=30, B=64]
Color [A=255, R=15, G=10, B=30]
Color [A=255, R=15, G=10, B=32]
Color [A=255, R=15, G=12, B=29]
Color [A=255, R=15, G=13, B=27]
Color [A=255, R=15, G=13, B=34]
Color [A=255, R=15, G=13, B=35]
Color [A=255, R=15, G=14, B=30]
Color [A=255, R=15, G=14, B=32]
Color [A=255, R=15, G=15, B=27]
Color [A=255, R=15, G=15, B=39]
Color [A=255, R=15, G=16, B=34]
Color [A=255, R=15, G=16, B=36]
Color [A=255, R=15, G=16, B=37]
Color [A=255, R=15, G=16, B=44]
Color [A=255, R=15, G=17, B=29]
Color [A=255, R=15, G=17, B=32]
Color [A=255, R=15, G=18, B=33]
Color [A=255, R=15, G=18, B=37]
Color [A=255, R=15, G=19, B=30]
Color [A=255, R=15, G=20, B=39]
Color [A=255, R=15, G=20, B=42]
Color [A=255, R=15, G=20, B=50]
Color [A=255, R=15, G=21, B=45]
Color [A=255, R=15, G=21, B=47]
Color [A=255, R=15, G=22, B=30]
Color [A=255, R=15, G=22, B=38]
Color [A=255, R=15, G=23, B=26]
Color [A=255, R=15, G=23, B=34]
Color [A=255, R=15, G=23, B=36]
Color [A=255, R=15, G=23, B=62]
Color [A=255, R=15, G=24, B=29]
Color [A=255, R=15, G=24, B=31]
Color [A=255, R=15, G=24, B=33]
Color [A=255, R=15, G=24, B=41]
Color [A=255, R=15, G=25, B=34]
Color [A=255, R=15, G=25, B=35]
Color [A=255, R=15, G=25, B=37]
Color [A=255, R=15, G=26, B=30]
Color [A=255, R=15, G=26, B=32]
Color [A=255, R=15, G=28, B=44]
Color [A=255, R=15, G=31, B=56]
Color [A=255, R=16, G=10, B=22]
Color [A=255, R=16, G=11, B=31]
Color [A=255, R=16, G=12, B=27]
Color [A=255, R=16, G=13, B=34]
Color [A=255, R=16, G=13, B=42]
Color [A=255, R=16, G=14, B=35]
Color [A=255, R=16, G=15, B=31]
Color [A=255, R=16, G=15, B=33]
